n, value1, value2, std1, std2, method 
400,-0.2556628461058515,-0.29987538191097435,0.1057149623238479,0.148021544360901,persTree
400,-0.2517630303763044,-0.27257619960256657,0.09989897795728273,0.1531875005783574,persForest
400,-0.5914486558500528,-0.6400444223224586,0.0779552236524966,0.06957081436120748,RF
400,-0.4880395947355714,-0.5365369699015888,0.0806929703254586,0.07041741275585642,linReg
600,-0.31763606382562737,-0.3062051264071129,0.08230613735459251,0.10965746890644856,persTree
600,-0.296903941259982,-0.30851217982804147,0.0669894562957038,0.0976946823334969,persForest
600,-0.6251241014439953,-0.6522368890812954,0.058058104890918553,0.07684412965276335,RF
600,-0.5071039236036212,-0.5509740629513401,0.07087470633799704,0.08618291403554613,linReg
800,-0.30456219144211505,-0.2753469223979839,0.06893336098875184,0.06945800395986292,persTree
800,-0.2980331343573381,-0.2739689069383788,0.05094531528065733,0.0661221914477292,persForest
800,-0.6518927497464087,-0.6377621855251806,0.06525113221741692,0.04380688252550428,RF
800,-0.5327641421138674,-0.5400482197966134,0.07997251544156207,0.046020176672832244,linReg
1000,-0.28102520876697545,-0.29451065814518373,0.0504473708548743,0.0732321415548804,persTree
1000,-0.2940706013847332,-0.30741257070108563,0.05092990349220135,0.06851236730155254,persForest
1000,-0.6223945016253689,-0.6567435831177819,0.04376876378803871,0.051345989359625005,RF
1000,-0.515881278764838,-0.5558389894224636,0.0541445566283801,0.05928594516819279,linReg
1200,-0.28132741766782504,-0.291086935694973,0.04302917880353284,0.06813445232940843,persTree
1200,-0.28252695751124746,-0.30170244981413796,0.046895386229111144,0.0691365633126531,persForest
1200,-0.6245124188653968,-0.6369427280244125,0.058572606825144875,0.048118591919493685,RF
1200,-0.5246779293045201,-0.5236929145511412,0.053737907603160384,0.04239136767316326,linReg
1400,-0.3050895467876819,-0.3184120128831558,0.03339803849724862,0.05454942331999629,persTree
1400,-0.30252549821060987,-0.3102998171511224,0.03935513384786791,0.0561846706863703,persForest
1400,-0.6338378658005894,-0.6502445416049755,0.03443088275465717,0.05539599435493914,RF
1400,-0.5295044685379529,-0.542437610644604,0.04340664025942082,0.049261338426142255,linReg
1600,-0.2933521927776744,-0.27900552876968715,0.03612488635968453,0.044982785736770135,persTree
1600,-0.3043377598804385,-0.28720026362005385,0.04000336827926325,0.0431100994650944,persForest
1600,-0.6374875248308276,-0.6327071979057703,0.025659985349768346,0.04167400317410476,RF
1600,-0.5334291235575613,-0.5298900730468807,0.03786974535104222,0.053839611948139666,linReg
1800,-0.30063730753562157,-0.283832849804178,0.06407228723283563,0.050870913731082004,persTree
1800,-0.30322553454067935,-0.2854660096832787,0.06065141189216818,0.04708131733700455,persForest
1800,-0.6471979832278568,-0.6500730405104326,0.045497170501392584,0.04248178218882205,RF
1800,-0.534016522741128,-0.5409907005209494,0.05138248846638496,0.04721884457656411,linReg
2000,-0.2946747877653227,-0.3136204827190591,0.045583939955920146,0.043649034930719074,persTree
2000,-0.2978049639027404,-0.3195052953779887,0.04553856549438136,0.03693193624770628,persForest
2000,-0.6433092916763228,-0.6607849973667553,0.03439280842641291,0.03242169221282071,RF
2000,-0.5374453127197754,-0.543502371934319,0.04878788217805609,0.03833413292043918,linReg
